

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
533.577  000.100  000.100: sourcing /usr/local/share/vim/vim80/ftplugin/text.vim
558.950  000.076  000.076: sourcing /usr/local/share/vim/vim80/ftplugin/text.vim
590.373  069.717: VimEnter autocommands
590.376  000.003: before starting main loop
591.430  000.498  000.498: sourcing /Users/cicloid/.vim/plugged/vim-anzu/autoload/anzu.vim
593.048  000.242  000.242: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale/cursor.vim
594.365  000.438  000.438: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/extensions/wordcount/formatters/default.vim
600.137  000.465  000.465: sourcing /Users/cicloid/.vim/plugged/vim-airline/autoload/airline/async.vim
604.453  000.893  000.893: sourcing /Users/cicloid/.vim/plugged/ale/autoload/ale/statusline.vim
606.051  000.271  000.271: sourcing /Users/cicloid/.vim/plugged/vim-gitgutter/autoload/gitgutter/hunk.vim
607.494  014.311: first screen update
607.497  000.003: --- VIM STARTED ---
